path,module,array,width_bits,depth,total_bits,category,contract,raw_read_accesses,raw_write_accesses,raw_read_clock_mask,init,source
karu64.csr.csr_hpmcounter,karu_csr,csr_hpmcounter,64,29,1856,control_flops,parallel control/state array; retain flip-flops; see README,60,59,000000000000000000000000000000000000000000000000000000000000,unspecified,rtl/karu_csr.v:132.16-132.30
karu64.csr.csr_hstateen,karu_csr,csr_hstateen,64,4,256,control_flops,parallel control/state array; retain flip-flops; see README,4,5,0000,unspecified,rtl/karu_csr.v:169.16-169.28
karu64.csr.csr_mhpmevent,karu_csr,csr_mhpmevent,64,29,1856,control_flops,parallel control/state array; retain flip-flops; see README,117,59,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,unspecified,rtl/karu_csr.v:133.16-133.29
karu64.dmem_l1.line_data_u.mem,karu_1w1r_async_ram,mem,512,64,32768,macro_candidate,1W1R; asynchronous read; full-word write; no bit enable,1,1,0,unspecified,rtl/karu_ram_prim.v:104.22-104.25
karu64.dmem_l1.line_tag_u.mem,karu_1w1r_async_ram,mem,20,64,1280,macro_candidate,1W1R; asynchronous read; full-word write; no bit enable,1,1,0,unspecified,rtl/karu_ram_prim.v:104.22-104.25
karu64.dmmu.gtlb_gpbmt,karu_sv39,gtlb_gpbmt,2,4,8,control_flops,parallel control/state array; retain flip-flops; see README,2,3,00,unspecified,rtl/karu_sv39.v:161.34-161.44
karu64.dmmu.gtlb_gperm,karu_sv39,gtlb_gperm,8,4,32,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:160.34-160.44
karu64.dmmu.gtlb_gppn,karu_sv39,gtlb_gppn,44,4,176,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:159.33-159.42
karu64.dmmu.gtlb_hppn,karu_sv39,gtlb_hppn,44,4,176,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:159.16-159.25
karu64.dmmu.gtlb_vpn,karu_sv39,gtlb_vpn,29,4,116,control_flops,parallel control/state array; retain flip-flops; see README,4,3,0000,unspecified,rtl/karu_sv39.v:158.16-158.24
karu64.dmmu.gtlb_vspbmt,karu_sv39,gtlb_vspbmt,2,4,8,control_flops,parallel control/state array; retain flip-flops; see README,3,3,000,unspecified,rtl/karu_sv39.v:161.15-161.26
karu64.dmmu.gtlb_vsperm,karu_sv39,gtlb_vsperm,8,4,32,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:160.15-160.26
karu64.dmmu.pwc_data_u.mem,karu_1w1r_async_ram,mem,512,4,2048,macro_candidate,1W1R; asynchronous read; full-word write; no bit enable,1,1,0,unspecified,rtl/karu_ram_prim.v:104.22-104.25
karu64.dmmu.pwc_tag,karu_sv39,pwc_tag,52,4,208,control_flops,parallel control/state array; retain flip-flops; see README,4,1,0000,unspecified,rtl/karu_sv39.v:187.33-187.40
karu64.dmmu.tlb_asid,karu_sv39,tlb_asid,16,4,64,control_flops,parallel control/state array; retain flip-flops; see README,4,2,0000,unspecified,rtl/karu_sv39.v:145.33-145.41
karu64.dmmu.tlb_level,karu_sv39,tlb_level,2,4,8,control_flops,parallel control/state array; retain flip-flops; see README,13,2,0000000000000,unspecified,rtl/karu_sv39.v:139.33-139.42
karu64.dmmu.tlb_pbmt,karu_sv39,tlb_pbmt,2,4,8,control_flops,parallel control/state array; retain flip-flops; see README,2,2,00,unspecified,rtl/karu_sv39.v:140.33-140.41
karu64.dmmu.tlb_perm,karu_sv39,tlb_perm,8,4,32,control_flops,parallel control/state array; retain flip-flops; see README,1,2,0,unspecified,rtl/karu_sv39.v:138.33-138.41
karu64.dmmu.tlb_ppn,karu_sv39,tlb_ppn,44,4,176,control_flops,parallel control/state array; retain flip-flops; see README,1,2,0,unspecified,rtl/karu_sv39.v:137.33-137.40
karu64.dmmu.tlb_root,karu_sv39,tlb_root,44,4,176,control_flops,parallel control/state array; retain flip-flops; see README,4,2,0000,unspecified,rtl/karu_sv39.v:146.33-146.41
karu64.dmmu.tlb_vpn,karu_sv39,tlb_vpn,27,4,108,control_flops,parallel control/state array; retain flip-flops; see README,12,2,000000000000,unspecified,rtl/karu_sv39.v:136.33-136.40
karu64.fpu.constant_lookup@rtl/karu_fpu.v:187.9-204.16#375227cc43bc[0],karu_fpu,constant_lookup@rtl/karu_fpu.v:187.9-204.16#375227cc43bc[0],32,32,1024,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/karu_fpu.v:187.9-204.16
karu64.fpu.constant_lookup@rtl/karu_fpu.v:207.9-224.16#b7d9a249adba[0],karu_fpu,constant_lookup@rtl/karu_fpu.v:207.9-224.16#b7d9a249adba[0],64,32,2048,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/karu_fpu.v:207.9-224.16
karu64.frf.fx,karu_fregfile,fx,64,32,2048,register_file,1W3R; asynchronous reads; full-word write,3,1,000,unspecified,rtl/karu_fregfile.v:26.16-26.18
karu64.icache.cdata_u.mem,karu_1w1r_async_ram,mem,64,512,32768,macro_candidate,1W1R; asynchronous read; full-word write; no bit enable,1,1,0,unspecified,rtl/karu_ram_prim.v:104.22-104.25
karu64.icache.ctag_u.mem,karu_1w1r_async_ram,mem,20,64,1280,macro_candidate,1W1R; asynchronous read; full-word write; no bit enable,1,1,0,unspecified,rtl/karu_ram_prim.v:104.22-104.25
karu64.immu.gtlb_gpbmt,karu_sv39,gtlb_gpbmt,2,4,8,control_flops,parallel control/state array; retain flip-flops; see README,2,3,00,unspecified,rtl/karu_sv39.v:161.34-161.44
karu64.immu.gtlb_gperm,karu_sv39,gtlb_gperm,8,4,32,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:160.34-160.44
karu64.immu.gtlb_gppn,karu_sv39,gtlb_gppn,44,4,176,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:159.33-159.42
karu64.immu.gtlb_hppn,karu_sv39,gtlb_hppn,44,4,176,control_flops,parallel control/state array; retain flip-flops; see README,1,3,0,unspecified,rtl/karu_sv39.v:159.16-159.25
karu64.immu.gtlb_vpn,karu_sv39,gtlb_vpn,29,4,116,control_flops,parallel control/state array; retain flip-flops; see README,4,3,0000,unspecified,rtl/karu_sv39.v:158.16-158.24
